#Year	Serious Death	Non-Serious
2018	558419	115271	435357
2017	906548	164112	745320
2016	832191	142126	717539
2015	805165	148769	773567
2014	682891	124750	396364
2013	590569	116822	367202
2012	539442	117529	276142
2011	474941	98942	208219
2010	389686	82955	199854
2009	311970	63925	114148
2008	270617	49765	118786
2007	236956	36878	89337
2006	230393	37373	67867
2005	219532	40079	62228
2004	169503	34757	68565
2003	146880	34954	43412
2002	134559	27935	22398
2001	146300	23779	33151
2000	138781	19341	41700
1999	141435	17258	65702
1998	137967	15935	5997
1997	90460	10125	97665
1996	84156	8186	79869
1995	76538	7141	57993
1994	78733	7939	42461
1993	102519	6580	15101
1992	83839	5920	16198
1991	56322	4459	14509
1990	56694	3959	14549
1989	46549	3540	10594
1988	40175	3263	7701
1987	40915	4883	8962
1986	37178	6492	12258
1985	18259	4080	16462
1984	15890	2556	14183
1983	14888	2219	14917
1982	9851	1887	11967
1981	5985	1284	7231
1980	5243	1073	6596
1979	3750	340	4154
1978	4044	574	4817
1977	5860	951	6930
1976	4218	667	5936
1975	4979	1103	4533
1974	4500	916	3837
1973	6430	836	4111
1972	6479	499	2659
1971	8905	698	3554
1970	11002	1015	5930
1969	3396	361	1676
1968	61	8	38
