State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
Alabama,4849377,20727,276,2005,4701,13745,154094,39715,104238,10141
Alaska,736732,4684,41,771,629,3243,20334,3150,15445,1739
Arizona,6731484,26916,319,3378,6249,16970,215240,43562,154091,17587
Arkansas,2966369,14243,165,1763,2050,10265,99018,24790,68627,5601
California,38802500,153709,1699,11527,48680,91803,947192,202670,592670,151852
Colorado,5355866,16554,151,3039,3039,10325,135510,23472,99464,12574
Connecticut,3596677,8522,86,782,3159,4495,69070,11955,51005,6110
Delaware,935614,4576,54,386,1269,2867,27900,5768,20865,1267
District of Columbia,658893,8199,105,472,3497,4125,34147,3466,26898,3783
Florida,19893297,107521,1149,8563,24914,72895,679446,143220,493647,42579
Georgia,10097343,38097,580,3048,12417,22052,331316,76428,228034,26854
Hawaii,1419561,3680,26,445,1107,2102,43297,7778,31640,3879
Idaho,1634464,3468,32,609,204,2623,30316,6428,22227,1661
Illinois,12880580,47663,685,4159,15299,27520,267385,50008,199926,17451
Indiana,6596855,24099,330,2186,6897,14686,174776,36893,124022,13861
Iowa,3107126,8497,60,1128,1045,6264,65056,14428,46477,4151
Kansas,2904021,10123,91,1411,1362,7259,79431,15828,56697,6906
Kentucky,4413457,9340,160,1440,3336,4404,99166,23244,69604,6318
Louisiana,4649676,23934,477,1375,5695,16387,160824,38337,112596,9891
Maine,1330089,1700,21,485,304,890,26421,5030,20592,799
Maryland,5976407,26661,365,1619,9544,15133,149859,28012,108745,13102
Massachusetts,6745408,26399,132,2180,6036,18051,125267,24964,92043,8260
Michigan,9909877,42348,535,6273,8021,27519,202547,44184,137206,21157
Minnesota,5457173,12505,88,2001,3687,6729,125377,20773,96237,8367
Mississippi,2994079,8338,258,1058,2430,4592,87462,24352,58591,4519
Missouri,6063589,26856,403,2379,5592,18482,176237,35258,124622,16357
Montana,1023579,3313,37,541,203,2532,25312,3595,19674,2043
Nebraska,1881503,5275,54,862,1043,3316,47479,7950,35074,4455
Nevada,2839099,18045,170,1357,5954,10564,74538,21927,42426,10185
New Hampshire,1326813,2602,12,594,537,1459,26041,4162,21022,857
New Jersey,8938175,23346,349,1274,10498,11225,154993,31710,111578,11705
New Mexico,2085572,12459,101,1475,2086,8797,73877,18505,49082,6290
New York,19746227,75398,617,5433,24045,45303,339282,50781,272765,15736
North Carolina,9943964,32767,510,2420,8416,21421,285697,79373,192694,13630
North Dakota,739482,1960,22,358,173,1407,15605,2707,11384,1514
Ohio,11594163,33030,464,5042,12753,14771,324528,78845,227668,18015
Oklahoma,3878051,15744,175,1777,3048,10744,115982,29508,75891,10583
Oregon,3970239,9224,81,1458,2093,5592,114305,17230,87526,9549
Pennsylvania,12787209,40164,614,3827,13534,22189,247016,45720,188256,13040
Rhode Island,1055173,2313,25,361,529,1398,22935,4823,16279,1833
South Carolina,4832482,24052,311,2068,3997,17676,167217,36721,117594,12902
South Dakota,853175,2786,20,470,200,2096,15902,2818,12077,1007
Tennessee,6549352,39848,371,2531,7265,29681,200447,46642,141206,12599
Texas,26956958,109414,1184,11393,31181,65656,813934,169234,576154,68546
Utah,2942902,6346,67,1454,1312,3513,84711,11518,65895,7298
Vermont,626562,622,10,110,70,432,9551,2034,7273,244
Virginia,8326289,16340,338,2310,4292,9400,160720,23122,129933,7665
Washington,7061530,20136,174,2695,5640,11627,261706,55290,175769,30647
West Virginia,1850326,5588,74,505,651,4358,37648,8973,26779,1896
Wisconsin,5757564,16714,165,1674,5066,9809,120238,21216,89103,9919
Wyoming,584153,1142,16,174,53,899,11477,1689,9185,603
United States-Total,318857056,1197987,14249,116645,325802,741291,8277829,1729806,5858496,689527
