State,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,4849377,427.4,5.7,41.3,96.9,283.4,3177.6,819,2149.5,209.1
Alaska,736732,635.8,5.6,104.7,85.4,440.2,2760,427.6,2096.4,236
Arizona,6731484,399.9,4.7,50.2,92.8,252.1,3197.5,647.1,2289.1,261.3
Arkansas,2966369,480.1,5.6,59.4,69.1,346,3338,835.7,2313.5,188.8
California,38802500,396.1,4.4,29.7,125.5,236.6,2441.1,522.3,1527.4,391.3
Colorado,5355866,309.1,2.8,56.7,56.7,192.8,2530.1,438.2,1857.1,234.8
Connecticut,3596677,236.9,2.4,21.7,87.8,125,1920.4,332.4,1418.1,169.9
Delaware,935614,489.1,5.8,41.3,135.6,306.4,2982,616.5,2230.1,135.4
District of Columbia,658893,1244.4,15.9,71.6,530.7,626.1,5182.5,526,4082.3,574.1
Florida,19893297,540.5,5.8,43,125.2,366.4,3415.5,719.9,2481.5,214
Georgia,10097343,377.3,5.7,30.2,123,218.4,3281.2,756.9,2258.4,266
Hawaii,1419561,259.2,1.8,31.3,78,148.1,3050,547.9,2228.9,273.3
Idaho,1634464,212.2,2,37.3,12.5,160.5,1854.8,393.3,1359.9,101.6
Illinois,12880580,370,5.3,32.3,118.8,213.7,2075.9,388.2,1552.2,135.5
Indiana,6596855,365.3,5,33.1,104.5,222.6,2649.4,559.3,1880,210.1
Iowa,3107126,273.5,1.9,36.3,33.6,201.6,2093.8,464.4,1495.8,133.6
Kansas,2904021,348.6,3.1,48.6,46.9,250,2735.2,545,1952.4,237.8
Kentucky,4413457,211.6,3.6,32.6,75.6,99.8,2246.9,526.7,1577.1,143.2
Louisiana,4649676,514.7,10.3,29.6,122.5,352.4,3458.8,824.5,2421.6,212.7
Maine,1330089,127.8,1.6,36.5,22.9,66.9,1986.4,378.2,1548.2,60.1
Maryland,5976407,446.1,6.1,27.1,159.7,253.2,2507.5,468.7,1819.6,219.2
Massachusetts,6745408,391.4,2,32.3,89.5,267.6,1857.1,370.1,1364.5,122.5
Michigan,9909877,427.3,5.4,63.3,80.9,277.7,2043.9,445.9,1384.5,213.5
Minnesota,5457173,229.1,1.6,36.7,67.6,123.3,2297.5,380.7,1763.5,153.3
Mississippi,2994079,278.5,8.6,35.3,81.2,153.4,2921.2,813.3,1956.9,150.9
Missouri,6063589,442.9,6.6,39.2,92.2,304.8,2906.5,581.5,2055.3,269.8
Montana,1023579,323.7,3.6,52.9,19.8,247.4,2472.9,351.2,1922.1,199.6
Nebraska,1881503,280.4,2.9,45.8,55.4,176.2,2523.5,422.5,1864.1,236.8
Nevada,2839099,635.6,6,47.8,209.7,372.1,2625.4,772.3,1494.3,358.7
New Hampshire,1326813,196.1,0.9,44.8,40.5,110,1962.7,313.7,1584.4,64.6
New Jersey,8938175,261.2,3.9,14.3,117.5,125.6,1734.1,354.8,1248.3,131
New Mexico,2085572,597.4,4.8,70.7,100,421.8,3542.3,887.3,2353.4,301.6
New York,19746227,381.8,3.1,27.5,121.8,229.4,1718.2,257.2,1381.4,79.7
North Carolina,9943964,329.5,5.1,24.3,84.6,215.4,2873.1,798.2,1937.8,137.1
North Dakota,739482,265.1,3,48.4,23.4,190.3,2110.3,366.1,1539.5,204.7
Ohio,11594163,284.9,4,43.5,110,127.4,2799.1,680,1963.6,155.4
Oklahoma,3878051,406,4.5,45.8,78.6,277,2990.7,760.9,1956.9,272.9
Oregon,3970239,232.3,2,36.7,52.7,140.8,2879,434,2204.6,240.5
Pennsylvania,12787209,314.1,4.8,29.9,105.8,173.5,1931.7,357.5,1472.2,102
Rhode Island,1055173,219.2,2.4,34.2,50.1,132.5,2173.6,457.1,1542.8,173.7
South Carolina,4832482,497.7,6.4,42.8,82.7,365.8,3460.3,759.9,2433.4,267
South Dakota,853175,326.5,2.3,55.1,23.4,245.7,1863.9,330.3,1415.5,118
Tennessee,6549352,608.4,5.7,38.6,110.9,453.2,3060.6,712.2,2156,192.4
Texas,26956958,405.9,4.4,42.3,115.7,243.6,3019.4,627.8,2137.3,254.3
Utah,2942902,215.6,2.3,49.4,44.6,119.4,2878.5,391.4,2239.1,248
Vermont,626562,99.3,1.6,17.6,11.2,68.9,1524.4,324.6,1160.8,38.9
Virginia,8326289,196.2,4.1,27.7,51.5,112.9,1930.3,277.7,1560.5,92.1
Washington,7061530,285.2,2.5,38.2,79.9,164.7,3706.1,783,2489.1,434
West Virginia,1850326,302,4,27.3,35.2,235.5,2034.7,484.9,1447.3,102.5
Wisconsin,5757564,290.3,2.9,29.1,88,170.4,2088.3,368.5,1547.6,172.3
Wyoming,584153,195.5,2.7,29.8,9.1,153.9,1964.7,289.1,1572.4,103.2
United States-Total,318857056,375.7,4.5,36.6,102.2,232.5,2596.1,542.5,1837.3,216.2
